sample_id,source,target,bleu
0,english,hindi,0.5918536444446654
1,english,hindi,0.5289407590362122
2,english,hindi,0.48746074229645
3,english,hindi,0.5921781981228816
4,english,hindi,0.471735180978416
5,english,hindi,2.4862373287750817e-277
6,english,hindi,1.4364854045254758e-284
7,english,hindi,1.2003429496123036e-279
8,english,hindi,8.127553019854397e-271
9,english,hindi,7.293001709285919e-291
10,english,hindi,6.09411216826365e-286
11,english,hindi,8.340397079002103e-281
12,english,hindi,1.082377423015614e-288
13,english,hindi,0.0
14,english,hindi,2.1185331026143615e-277
15,english,hindi,1.2240351496970678e-284
16,english,hindi,6.617867492153167e-305
17,english,hindi,0.0
18,english,hindi,5.851980936812315e-309
19,english,hindi,0.0
20,english,hindi,2.458540319452e-283
21,english,hindi,2.1846860997775206e-276
22,english,hindi,3.945565474007301e-211
23,english,hindi,1.0666380112767344e-272
24,english,hindi,7.106886819014754e-281
25,english,hindi,7.25737292998095e-302
26,english,hindi,1.1566798818672146e-275
27,english,hindi,0.0
28,english,hindi,0.0
29,english,hindi,0.0
30,english,hindi,8.048335307049616e-293
31,english,hindi,0.0
32,english,hindi,6.758293752045862e-277
33,english,hindi,1.3489074009945478e-270
34,english,hindi,1.598542766023816e-297
35,english,hindi,5.067429285349667e-292
36,english,hindi,7.328805401734563e-280
37,english,hindi,7.62690650835447e-282
38,english,hindi,0.0
39,english,hindi,1.992175854784755e-279
40,english,hindi,2.458540319452e-283
41,english,hindi,9.000279121467944e-295
42,english,hindi,1.3163358800306729e-276
43,english,hindi,0.0
44,english,hindi,3.1640696627519476e-280
45,english,hindi,3.8802287281314276e-279
46,english,hindi,0.0
47,english,hindi,5.584392628525796e-278
48,english,hindi,1.2702407857606058e-288
49,english,hindi,3.538310599409587e-282
50,english,hindi,2.2529047805158856e-275
51,english,hindi,7.293001709285919e-291
52,english,hindi,3.3483183584437404e-289
53,english,hindi,0.0
54,english,hindi,0.0
55,english,hindi,0.0
56,english,hindi,6.96932721989914e-276
57,english,hindi,9.981196353761174e-286
58,english,hindi,6.521633647029124e-289
59,english,hindi,3.671876936844099e-286
60,english,hindi,9.385880425134866e-288
61,english,hindi,0.0
62,english,hindi,1.30167172600179e-282
63,english,hindi,4.788582671502052e-283
64,english,hindi,0.0
65,english,hindi,3.148612112594487e-291
66,english,hindi,8.50501866189704e-286
67,english,hindi,5.284534478677653e-285
68,english,hindi,4.6729547041878545e-289
69,english,hindi,6.521633647029124e-289
70,english,hindi,2.49833402e-315
71,english,hindi,4.437493591803448e-269
72,english,hindi,2.0673777413838198e-283
73,english,hindi,1.2764768065709838e-277
74,english,hindi,8.340397079002103e-281
75,english,hindi,1.1639961793607005e-280
76,english,hindi,9.146355991293565e-278
77,english,hindi,2.1081833520765285e-288
78,english,hindi,1.4813408824848145e-283
79,english,hindi,2.8852580632216616e-283
80,english,hindi,1.864203053670237e-292
81,english,hindi,3.538310599409587e-282
82,english,hindi,1.134291398005471e-270
83,english,hindi,3.648797355909292e-281
84,english,hindi,1.9224143788408535e-291
85,english,hindi,0.0
86,english,hindi,9.191258396365146e-267
87,english,hindi,6.521633647029124e-289
88,english,hindi,2.535310331012093e-282
89,english,hindi,2.780305375894093e-279
90,english,hindi,3.226521624131993e-285
91,english,hindi,2.975352699097615e-282
92,english,hindi,0.0
93,english,hindi,0.0
94,english,hindi,4.2611831206020435e-292
95,english,hindi,1.6165513597994003e-291
96,english,hindi,2.2671549821984314e-280
97,english,hindi,2.4862373287750817e-277
98,english,hindi,0.0
99,english,hindi,2.811627271779988e-273
