sample_id,source,target,bleu
0,english,swahili,0.48401532176064294
1,english,swahili,0.0
2,english,swahili,0.0
3,english,swahili,6.858019776143031e-293
4,english,swahili,2.0673777413838198e-283
5,english,swahili,2.4862373287750817e-277
6,english,swahili,1.4364854045254758e-284
7,english,swahili,1.2003429496123036e-279
8,english,swahili,8.127553019854397e-271
9,english,swahili,7.293001709285919e-291
10,english,swahili,6.09411216826365e-286
11,english,swahili,8.340397079002103e-281
12,english,swahili,1.082377423015614e-288
13,english,swahili,0.0
14,english,swahili,2.1185331026143615e-277
15,english,swahili,1.2240351496970678e-284
16,english,swahili,6.617867492153167e-305
17,english,swahili,0.0
18,english,swahili,5.851980936812315e-309
19,english,swahili,0.0
20,english,swahili,2.458540319452e-283
21,english,swahili,2.1846860997775206e-276
22,english,swahili,3.945565474007301e-211
23,english,swahili,1.0666380112767344e-272
24,english,swahili,7.106886819014754e-281
25,english,swahili,7.25737292998095e-302
26,english,swahili,1.1566798818672146e-275
27,english,swahili,0.0
28,english,swahili,0.0
29,english,swahili,0.0
30,english,swahili,8.048335307049616e-293
31,english,swahili,0.0
32,english,swahili,6.758293752045862e-277
33,english,swahili,1.3489074009945478e-270
34,english,swahili,1.598542766023816e-297
35,english,swahili,5.067429285349667e-292
36,english,swahili,7.328805401734563e-280
37,english,swahili,7.62690650835447e-282
38,english,swahili,0.0
39,english,swahili,1.992175854784755e-279
40,english,swahili,2.458540319452e-283
41,english,swahili,9.000279121467944e-295
42,english,swahili,1.3163358800306729e-276
43,english,swahili,0.0
44,english,swahili,3.1640696627519476e-280
45,english,swahili,3.8802287281314276e-279
46,english,swahili,0.0
47,english,swahili,5.584392628525796e-278
48,english,swahili,1.2702407857606058e-288
49,english,swahili,3.538310599409587e-282
50,english,swahili,2.2529047805158856e-275
51,english,swahili,7.293001709285919e-291
52,english,swahili,3.3483183584437404e-289
53,english,swahili,0.0
54,english,swahili,0.0
55,english,swahili,0.0
56,english,swahili,6.96932721989914e-276
57,english,swahili,9.981196353761174e-286
58,english,swahili,6.521633647029124e-289
59,english,swahili,3.671876936844099e-286
60,english,swahili,9.385880425134866e-288
61,english,swahili,0.0
62,english,swahili,1.30167172600179e-282
63,english,swahili,4.788582671502052e-283
64,english,swahili,0.0
65,english,swahili,3.148612112594487e-291
66,english,swahili,8.50501866189704e-286
67,english,swahili,5.284534478677653e-285
68,english,swahili,4.6729547041878545e-289
69,english,swahili,6.521633647029124e-289
70,english,swahili,2.49833402e-315
71,english,swahili,4.437493591803448e-269
72,english,swahili,2.0673777413838198e-283
73,english,swahili,1.2764768065709838e-277
74,english,swahili,8.340397079002103e-281
75,english,swahili,1.1639961793607005e-280
76,english,swahili,9.146355991293565e-278
77,english,swahili,2.1081833520765285e-288
78,english,swahili,1.4813408824848145e-283
79,english,swahili,2.8852580632216616e-283
80,english,swahili,1.864203053670237e-292
81,english,swahili,3.538310599409587e-282
82,english,swahili,1.134291398005471e-270
83,english,swahili,3.648797355909292e-281
84,english,swahili,1.9224143788408535e-291
85,english,swahili,0.0
86,english,swahili,9.191258396365146e-267
87,english,swahili,6.521633647029124e-289
88,english,swahili,2.535310331012093e-282
89,english,swahili,2.780305375894093e-279
90,english,swahili,3.226521624131993e-285
91,english,swahili,2.975352699097615e-282
92,english,swahili,0.0
93,english,swahili,0.0
94,english,swahili,4.2611831206020435e-292
95,english,swahili,1.6165513597994003e-291
96,english,swahili,2.2671549821984314e-280
97,english,swahili,2.4862373287750817e-277
98,english,swahili,0.0
99,english,swahili,2.811627271779988e-273
