model,language,dimension,wins_A,wins_B,ties,mean_A,mean_B,count
gemma,chinese,correctness,120,98,88,4.415032679738562,4.34640522875817,306
gemma,chinese,completeness,148,100,58,4.372549019607843,4.241830065359477,306
gemma,chinese,clarity,100,191,15,4.0,4.362745098039215,306
gemma,chinese,terminology,108,96,102,4.437908496732026,4.415032679738562,306
gemma,chinese,brevity,30,263,13,3.447712418300654,4.26797385620915,306
gemma,chinese,overall,105,143,58,4.173202614379085,4.261437908496732,306
gemma,french,correctness,153,87,66,4.398692810457517,4.169934640522876,306
gemma,french,completeness,173,99,34,4.369281045751634,4.130718954248366,306
gemma,french,clarity,135,130,41,4.1797385620915035,4.163398692810458,306
gemma,french,terminology,140,82,84,4.496732026143791,4.316993464052287,306
gemma,french,brevity,104,185,17,3.537704918032787,3.862295081967213,305
gemma,french,overall,139,105,62,4.228758169934641,4.088235294117647,306
gemma,spanish,correctness,153,103,50,4.450980392156863,4.281045751633987,306
gemma,spanish,completeness,179,102,25,4.42483660130719,4.19281045751634,306
gemma,spanish,clarity,129,157,20,4.212418300653595,4.339869281045751,306
gemma,spanish,terminology,134,102,70,4.477124183006536,4.408496732026144,306
gemma,spanish,brevity,54,230,22,3.4934640522875817,4.15359477124183,306
gemma,spanish,overall,128,117,61,4.254901960784314,4.212418300653595,306
gemma,portuguese,correctness,156,85,65,4.5816993464052285,4.336601307189542,306
gemma,portuguese,completeness,184,89,33,4.545751633986928,4.196078431372549,306
gemma,portuguese,clarity,141,156,9,4.303921568627451,4.362745098039215,306
gemma,portuguese,terminology,148,84,74,4.594771241830065,4.395424836601308,306
gemma,portuguese,brevity,54,234,18,3.5718954248366015,4.215686274509804,306
gemma,portuguese,overall,143,107,56,4.375816993464053,4.228758169934641,306
gemma,arabic,correctness,57,227,22,4.016339869281046,4.598039215686274,306
gemma,arabic,completeness,67,223,16,3.895424836601307,4.555555555555555,306
gemma,arabic,clarity,48,256,2,3.552287581699346,4.503267973856209,306
gemma,arabic,terminology,49,227,30,3.872549019607843,4.643790849673203,306
gemma,arabic,brevity,93,193,20,3.4084967320261437,3.826797385620915,306
gemma,arabic,overall,46,238,22,3.8627450980392157,4.555555555555555,306
gemma,hindi,correctness,77,204,25,4.11437908496732,4.542483660130719,306
gemma,hindi,completeness,87,203,16,4.003267973856209,4.516339869281046,306
gemma,hindi,clarity,60,240,6,3.69281045751634,4.431372549019608,306
gemma,hindi,terminology,67,209,30,4.003267973856209,4.568627450980392,306
gemma,hindi,brevity,63,223,20,3.284313725490196,3.9640522875816995,306
gemma,hindi,overall,62,215,29,3.9281045751633985,4.480392156862745,306
codegemma,chinese,correctness,136,118,52,4.401960784313726,4.333333333333333,306
codegemma,chinese,completeness,155,118,33,4.356209150326797,4.251633986928105,306
codegemma,chinese,clarity,111,186,9,4.062091503267974,4.362745098039215,306
codegemma,chinese,terminology,139,115,52,4.408496732026144,4.339869281045751,306
codegemma,chinese,brevity,43,248,15,3.545751633986928,4.2973856209150325,306
codegemma,chinese,overall,127,144,35,4.218954248366013,4.287581699346405,306
codegemma,french,correctness,96,171,39,4.022875816993464,4.284313725490196,306
codegemma,french,completeness,88,191,27,3.892156862745098,4.339869281045751,306
codegemma,french,clarity,93,201,12,3.7450980392156863,4.2026143790849675,306
codegemma,french,terminology,85,159,62,4.133986928104576,4.411764705882353,306
codegemma,french,brevity,129,167,10,3.5065359477124183,3.65359477124183,306
codegemma,french,overall,80,179,47,3.8823529411764706,4.228758169934641,306
codegemma,spanish,correctness,115,152,39,4.238562091503268,4.382352941176471,306
codegemma,spanish,completeness,117,168,21,4.094771241830065,4.375816993464053,306
codegemma,spanish,clarity,106,193,7,4.0130718954248366,4.392156862745098,306
codegemma,spanish,terminology,109,153,44,4.218954248366013,4.415032679738562,306
codegemma,spanish,brevity,105,186,15,3.630718954248366,3.9248366013071894,306
codegemma,spanish,overall,108,168,30,4.11437908496732,4.336601307189542,306
codegemma,portuguese,correctness,122,141,43,4.30718954248366,4.379084967320262,306
