sample_id,meteor_french,meteor_german,meteor_spanish,meteor_hindi,meteor_portuguese
0,0.2969,0.2957,0.4249,0.1931,0.4501
1,0.3879,0.3728,0.3779,0.3644,0.385
2,0.4712,0.3723,0.4981,0.3178,0.4669
3,0.4562,0.4065,0.4936,0.2953,0.5173
4,0.4627,0.4221,0.4492,0.2956,0.4822
5,0.3357,0.2934,0.5051,0.2547,0.3882
6,0.4356,0.4225,0.4538,0.3356,0.37
7,0.475,0.4911,0.493,0.3642,0.4624
8,0.3497,0.3018,0.3881,0.292,0.4361
9,0.3808,0.2859,0.4056,0.2826,0.4317
10,0.4501,0.3905,0.4526,0.2949,0.5308
11,0.4069,0.4194,0.5157,0.3144,0.4298
12,0.4262,0.4247,0.412,0.3191,0.4743
13,0.38,0.2942,0.3777,0.2861,0.2864
14,0.3957,0.3454,0.3868,0.2449,0.3793
15,0.3883,0.42,0.3853,0.3916,0.5305
16,0.4296,0.3556,0.4406,0.2314,0.2771
17,0.4901,0.4597,0.4758,0.369,0.3188
18,0.3911,0.4028,0.4132,0.2143,0.4404
19,0.4182,0.4033,0.4749,0.207,0.4462
20,0.337,0.2462,0.4573,0.2809,0.4308
21,0.5471,0.455,0.5025,0.4166,0.489
22,0.423,0.4519,0.4016,0.3252,0.467
23,0.4108,0.4693,0.4437,0.352,0.4495
24,0.3334,0.3996,0.4181,0.2757,0.4081
25,0.4202,0.4274,0.4235,0.22,0.4539
26,0.459,0.4349,0.4369,0.3638,0.4245
27,0.3296,0.3276,0.4095,0.2852,0.4381
28,0.3399,0.3501,0.3358,0.2121,0.4201
29,0.2648,0.5007,0.539,0.2724,0.4514
30,0.4449,0.3353,0.4528,0.3367,0.395
31,0.303,0.333,0.319,0.2087,0.3256
32,0.4082,0.2726,0.418,0.3274,0.4448
33,0.3724,0.3868,0.4453,0.3625,0.4308
34,0.3689,0.381,0.3523,0.2363,0.3301
35,0.3752,0.3922,0.3979,0.2869,0.4023
36,0.3676,0.2682,0.3279,0.164,0.2698
37,0.462,0.388,0.4421,0.2937,0.3899
38,0.3787,0.351,0.3489,0.2978,0.3513
39,0.3356,0.3625,0.4398,0.2653,0.4299
40,0.3008,0.3879,0.4297,0.2936,0.3583
41,0.28,0.4026,0.3685,0.2697,0.3475
42,0.464,0.2705,0.5574,0.2379,0.433
43,0.542,0.4112,0.5245,0.3059,0.4134
44,0.4429,0.4028,0.4418,0.3197,0.4055
45,0.4362,0.408,0.4432,0.308,0.4465
46,0.3548,0.4214,0.387,0.221,0.4601
47,0.4639,0.4879,0.503,0.4235,0.5067
48,0.3894,0.4181,0.4288,0.3318,0.4698
49,0.4067,0.3939,0.4428,0.2966,0.4517
50,0.4084,0.3648,0.4195,0.3444,0.4087
51,0.3944,0.4239,0.4067,0.3364,0.4191
52,0.3974,0.3423,0.3554,0.2369,0.4041
53,0.3903,0.4414,0.3918,0.1884,0.4311
54,0.4027,0.2943,0.4038,0.1814,0.3953
55,0.4399,0.4553,0.4411,0.3292,0.4639
56,0.3883,0.487,0.4416,0.3062,0.4351
57,0.423,0.3991,0.4646,0.3684,0.4283
58,0.401,0.3614,0.4334,0.27,0.3827
59,0.4369,0.4031,0.4167,0.3441,0.3663
60,0.3673,0.3659,0.4363,0.3248,0.39
61,0.3572,0.1686,0.3495,0.1538,0.3408
62,0.364,0.4011,0.3713,0.2619,0.2981
63,0.356,0.2638,0.4729,0.2766,0.4099
64,0.446,0.3843,0.4462,0.2812,0.4245
65,0.3749,0.3228,0.3538,0.2485,0.3796
66,0.402,0.3994,0.4143,0.3339,0.3332
67,0.3854,0.4074,0.4893,0.2113,0.5077
68,0.341,0.3269,0.387,0.2515,0.3359
69,0.3914,0.4229,0.4425,0.2856,0.3985
70,0.3252,0.2798,0.3263,0.192,0.3308
71,0.3876,0.339,0.3963,0.3341,0.4271
72,0.4566,0.4898,0.5074,0.3707,0.4555
73,0.4325,0.4075,0.4939,0.2612,0.4639
74,0.3601,0.4286,0.3836,0.197,0.2579
75,0.365,0.502,0.3806,0.2906,0.4142
76,0.3932,0.502,0.4261,0.2097,0.476
77,0.404,0.3417,0.4312,0.2204,0.4358
78,0.4297,0.3826,0.4779,0.2935,0.4685
79,0.3839,0.4356,0.4237,0.2703,0.4158
80,0.3741,0.4038,0.4293,0.2939,0.4632
81,0.3967,0.3214,0.4825,0.3305,0.4349
82,0.5334,0.423,0.4716,0.1891,0.5004
83,0.3273,0.4619,0.5093,0.2259,0.4793
84,0.3342,0.3794,0.4203,0.2364,0.3574
85,0.4321,0.3395,0.5203,0.3152,0.4845
86,0.4147,0.3255,0.4003,0.2674,0.3958
87,0.4421,0.4035,0.3969,0.2416,0.2915
88,0.4296,0.423,0.4731,0.334,0.4055
89,0.4374,0.4353,0.4445,0.2918,0.4161
90,0.4538,0.425,0.4328,0.3646,0.3988
91,0.3604,0.387,0.3982,0.3694,0.4836
92,0.3763,0.4167,0.3874,0.2205,0.4372
93,0.3591,0.3169,0.2805,0.2297,0.373
94,0.2773,0.2242,0.3955,0.2473,0.34
95,0.4448,0.4291,0.4348,0.3035,0.419
96,0.4186,0.3949,0.4096,0.3337,0.3988
97,0.4012,0.3697,0.4104,0.4051,0.4269
98,0.4014,0.4384,0.4504,0.1466,0.4478
99,0.5141,0.38,0.4793,0.2136,0.4432
