index,language,dimension,delta_mean_cross_model,delta_std,n_models,delta_ci95
0,arabic,correctness,1.1127450980392157,0.4815098228037273,4,0.47187962634765274
1,arabic,completeness,1.2990196078431375,0.5713037711391334,4,0.5598776957163507
2,arabic,clarity,1.4501633986928102,0.4623567092941973,4,0.45310957510831334
3,arabic,terminology,1.2148692810457518,0.4172642986448815,4,0.4089190126719839
4,arabic,brevity,0.41094771241830086,0.4222004267359911,4,0.4137564182012713
5,arabic,overall,1.2205882352941173,0.5035402313680662,4,0.49346942674070493
6,chinese,correctness,-0.0171568627450982,0.07396385815527035,4,0.07248458099216494
7,chinese,completeness,-0.025326797385620825,0.10754150065503365,4,0.10539067064193297
8,chinese,clarity,0.35049019607843124,0.06985493187291987,4,0.06845783323546147
9,chinese,terminology,0.022058823529411686,0.09884833148899975,4,0.09687136485921975
10,chinese,brevity,0.6911764705882354,0.2058650613480713,4,0.20174776012110987
11,chinese,overall,0.09395424836601296,0.07338402474799237,4,0.07191634425303252
12,french,correctness,0.11928104575163401,0.38090708508776994,4,0.37328894338601454
13,french,completeness,0.21405228758169936,0.4070300467116078,4,0.3988894457773756
14,french,clarity,0.3872549019607844,0.4444965047043734,4,0.43560657461028596
15,french,terminology,0.16258169934640498,0.3749623226642564,4,0.36746307621097124
16,french,brevity,0.2695703417979214,0.27875692406053687,4,0.27318178557932615
17,french,overall,0.20751633986928064,0.3590262571634056,4,0.35184573202013747
18,hindi,correctness,1.3333333333333335,0.6830091419824984,4,0.6693489591428484
19,hindi,completeness,1.4052287581699345,0.7793186983985808,4,0.7637323244306092
20,hindi,clarity,1.73937908496732,0.6852901696780793,4,0.6715843662845177
21,hindi,terminology,1.3831699346405228,0.5956108357361767,4,0.5836986190214531
22,hindi,brevity,0.900326797385621,0.43440293603061203,4,0.4257148773099998
23,hindi,overall,1.4616013071895426,0.6785454114740781,4,0.6649745032445965
24,portuguese,correctness,0.047385620915033067,0.35503794984874415,4,0.3479371908517693
25,portuguese,completeness,0.06454248366013071,0.4148256993363361,4,0.4065291853496094
26,portuguese,clarity,0.49836601307189554,0.447322636172007,4,0.4383761834485669
27,portuguese,terminology,0.10866013071895464,0.4051881260815508,4,0.3970843635599198
28,portuguese,brevity,0.5547385620915033,0.15761834627263657,4,0.15446597934718384
29,portuguese,overall,0.15441176470588225,0.35295504491432644,4,0.3458959440160399
30,spanish,correctness,0.07189542483660116,0.3279391818118196,4,0.32138039817558317
31,spanish,completeness,0.11356209150326801,0.3605290116088532,4,0.3533184313766761
32,spanish,clarity,0.41503267973856206,0.4014778259496227,4,0.39344826943063027
33,spanish,terminology,0.152777777777778,0.36050926295194763,4,0.3532990776929087
34,spanish,brevity,0.525326797385621,0.26966065370409964,4,0.26426744063001767
35,spanish,overall,0.17647058823529416,0.3367440524787814,4,0.33000917142920577
