model,language,dimension,wins_A,wins_B,ties,wins_A_share,wins_B_share,ties_share,total_compared
codegemma,arabic,correctness,19,285,2,0.06209150326797386,0.9313725490196079,0.006535947712418301,306
codegemma,arabic,completeness,17,283,6,0.05555555555555555,0.9248366013071896,0.0196078431372549,306
codegemma,arabic,clarity,14,292,0,0.0457516339869281,0.954248366013072,0.0,306
codegemma,arabic,terminology,16,287,3,0.05228758169934641,0.9379084967320261,0.00980392156862745,306
codegemma,arabic,brevity,55,237,14,0.17973856209150327,0.7745098039215687,0.0457516339869281,306
codegemma,arabic,overall,15,287,4,0.049019607843137254,0.9379084967320261,0.013071895424836602,306
codegemma,chinese,correctness,136,118,52,0.4444444444444444,0.38562091503267976,0.16993464052287582,306
codegemma,chinese,completeness,155,118,33,0.5065359477124183,0.38562091503267976,0.10784313725490197,306
codegemma,chinese,clarity,111,186,9,0.3627450980392157,0.6078431372549019,0.029411764705882353,306
codegemma,chinese,terminology,139,115,52,0.4542483660130719,0.3758169934640523,0.16993464052287582,306
codegemma,chinese,brevity,43,248,15,0.14052287581699346,0.8104575163398693,0.049019607843137254,306
codegemma,chinese,overall,127,144,35,0.4150326797385621,0.47058823529411764,0.11437908496732026,306
codegemma,french,correctness,96,171,39,0.3137254901960784,0.5588235294117647,0.12745098039215685,306
codegemma,french,completeness,88,191,27,0.2875816993464052,0.6241830065359477,0.08823529411764706,306
codegemma,french,clarity,93,201,12,0.30392156862745096,0.6568627450980392,0.0392156862745098,306
codegemma,french,terminology,85,159,62,0.2777777777777778,0.5196078431372549,0.20261437908496732,306
codegemma,french,brevity,129,167,10,0.4215686274509804,0.545751633986928,0.032679738562091505,306
codegemma,french,overall,80,179,47,0.26143790849673204,0.5849673202614379,0.15359477124183007,306
codegemma,hindi,correctness,20,284,2,0.06535947712418301,0.9281045751633987,0.006535947712418301,306
codegemma,hindi,completeness,23,272,11,0.07516339869281045,0.8888888888888888,0.03594771241830065,306
codegemma,hindi,clarity,9,297,0,0.029411764705882353,0.9705882352941176,0.0,306
codegemma,hindi,terminology,20,284,2,0.06535947712418301,0.9281045751633987,0.006535947712418301,306
codegemma,hindi,brevity,34,261,11,0.1111111111111111,0.8529411764705882,0.03594771241830065,306
codegemma,hindi,overall,15,284,7,0.049019607843137254,0.9281045751633987,0.02287581699346405,306
codegemma,portuguese,correctness,122,141,43,0.39869281045751637,0.46078431372549017,0.14052287581699346,306
codegemma,portuguese,completeness,136,148,22,0.4444444444444444,0.48366013071895425,0.0718954248366013,306
codegemma,portuguese,clarity,93,208,5,0.30392156862745096,0.6797385620915033,0.016339869281045753,306
codegemma,portuguese,terminology,120,139,47,0.39215686274509803,0.4542483660130719,0.15359477124183007,306
codegemma,portuguese,brevity,64,228,14,0.20915032679738563,0.7450980392156863,0.0457516339869281,306
codegemma,portuguese,overall,116,162,28,0.3790849673202614,0.5294117647058824,0.0915032679738562,306
codegemma,spanish,correctness,115,152,39,0.3758169934640523,0.49673202614379086,0.12745098039215685,306
codegemma,spanish,completeness,117,168,21,0.38235294117647056,0.5490196078431373,0.06862745098039216,306
codegemma,spanish,clarity,106,193,7,0.3464052287581699,0.630718954248366,0.02287581699346405,306
codegemma,spanish,terminology,109,153,44,0.3562091503267974,0.5,0.1437908496732026,306
codegemma,spanish,brevity,105,186,15,0.3431372549019608,0.6078431372549019,0.049019607843137254,306
codegemma,spanish,overall,108,168,30,0.35294117647058826,0.5490196078431373,0.09803921568627451,306
